epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8361.52,1.00255,0.9487,1.24262,0.94176,0.8037,0.94106,0.76055,0.78771,0.80198,1.02979,0.00104231,0.00104231,0.00104231
43,8560.15,0.99122,0.90516,1.22273,0.8378,0.83727,0.86676,0.71042,0.84089,0.98678,1.09488,0.00103288,0.00103288,0.00103288
44,8759.18,0.95651,0.88675,1.20598,0.82096,0.82995,0.8764,0.72289,0.7829,0.81737,1.08381,0.00102345,0.00102345,0.00102345
45,8958.97,0.97552,0.8756,1.2181,0.91525,0.68984,0.84874,0.71866,0.74824,0.92357,1.03235,0.00101402,0.00101402,0.00101402
46,9158.8,0.96179,0.84987,1.20239,0.87278,0.88168,0.83761,0.73765,0.73364,0.88017,1.07913,0.00100459,0.00100459,0.00100459
47,9359.23,0.91397,0.82307,1.18561,0.92173,0.84064,0.88982,0.71442,0.90828,0.79214,1.21226,0.000995156,0.000995156,0.000995156
48,9559.56,0.96549,0.88665,1.21369,0.92884,0.75556,0.88161,0.69654,0.88859,0.94983,1.17562,0.000985724,0.000985724,0.000985724
49,9760.92,0.95091,0.8441,1.21302,0.86717,0.75241,0.833,0.68273,0.74324,0.8246,1.04968,0.000976293,0.000976293,0.000976293
50,9966.54,0.90667,0.81933,1.17582,0.78702,0.86047,0.86795,0.70911,0.80091,0.75696,1.06806,0.000966861,0.000966861,0.000966861
51,10167.6,0.91146,0.83234,1.19163,0.89116,0.84426,0.90662,0.76068,0.68764,0.70357,1.0389,0.00095743,0.00095743,0.00095743
52,10368.8,0.90149,0.80817,1.17562,0.91473,0.77365,0.90158,0.76525,0.70781,0.72628,1.02749,0.000947999,0.000947999,0.000947999
53,10569.7,0.9091,0.83924,1.19416,0.80904,0.88411,0.90489,0.74712,0.76296,0.86568,1.10682,0.000938567,0.000938567,0.000938567
54,10770.9,0.90122,0.80349,1.18618,0.98125,0.81931,0.9277,0.75402,0.85311,0.66706,1.13595,0.000929136,0.000929136,0.000929136
55,10973,0.9122,0.81356,1.18032,0.97674,0.78889,0.87004,0.71621,0.8076,0.88761,1.10729,0.000919704,0.000919704,0.000919704
56,11174.6,0.91174,0.78619,1.16386,0.97069,0.83703,0.96039,0.79691,0.7869,0.61816,1.10557,0.000910273,0.000910273,0.000910273
57,11376.3,0.89079,0.77248,1.16555,0.98318,0.9249,0.94656,0.77823,0.78157,0.684,1.06239,0.000900842,0.000900842,0.000900842
58,11577.7,0.8733,0.79323,1.16576,0.96679,0.84844,0.95214,0.78861,0.74769,0.55853,1.04647,0.00089141,0.00089141,0.00089141
59,11779.5,0.8946,0.77528,1.16181,0.90678,0.81619,0.88524,0.74308,0.73298,0.80427,1.04075,0.000881979,0.000881979,0.000881979
60,11981.9,0.86672,0.76779,1.15238,0.94133,0.88846,0.92018,0.78281,0.71877,0.5843,1.03842,0.000872547,0.000872547,0.000872547
61,12183.3,0.90114,0.78701,1.18405,0.94578,0.85926,0.91273,0.76075,0.75317,0.74386,1.07752,0.000863116,0.000863116,0.000863116
62,12385.4,0.87503,0.75045,1.16603,0.95379,0.81109,0.89648,0.7653,0.71922,0.74505,1.07526,0.000853685,0.000853685,0.000853685
63,12587.9,0.86284,0.75419,1.15435,0.98082,0.75703,0.90476,0.71843,0.86726,0.77055,1.09681,0.000844253,0.000844253,0.000844253
64,12789.7,0.85573,0.74487,1.15947,0.87935,0.77257,0.87474,0.74676,0.68691,0.73809,0.99219,0.000834822,0.000834822,0.000834822
65,12992.1,0.86846,0.75218,1.16158,0.98889,0.82678,0.90977,0.73494,0.8097,0.70098,1.05528,0.00082539,0.00082539,0.00082539
66,13194.3,0.83517,0.70647,1.14375,0.85517,0.91104,0.96712,0.77683,0.76038,0.60601,1.06691,0.000815959,0.000815959,0.000815959
67,13396.2,0.83137,0.75334,1.14263,0.93476,0.89084,0.94056,0.79999,0.70703,0.57839,1.00984,0.000806528,0.000806528,0.000806528
68,13599.3,0.86664,0.73975,1.16134,0.95186,0.78814,0.93916,0.77688,0.66726,0.63194,1.00487,0.000797096,0.000797096,0.000797096
69,13801.8,0.82926,0.70238,1.1333,0.91563,0.77878,0.87163,0.73131,0.8027,0.75846,1.08784,0.000787665,0.000787665,0.000787665
70,14003.7,0.79588,0.65409,1.10611,0.91856,0.79563,0.90927,0.74276,0.72211,0.74751,1.07819,0.000778233,0.000778233,0.000778233
71,14205.5,0.84289,0.71371,1.14511,0.88775,0.93333,0.95159,0.77413,0.79059,0.67752,1.07745,0.000768802,0.000768802,0.000768802
72,14408.2,0.81802,0.69871,1.13149,0.92821,0.82963,0.94095,0.70396,0.83036,0.64541,1.11628,0.000759371,0.000759371,0.000759371
73,14611,0.79548,0.68041,1.11319,0.93198,0.82124,0.92822,0.7453,0.82945,0.70037,1.13867,0.000749939,0.000749939,0.000749939
74,14813,0.80313,0.68327,1.11972,0.89927,0.8124,0.90236,0.76277,0.75565,0.69386,1.07496,0.000740508,0.000740508,0.000740508
75,15015.6,0.78967,0.69531,1.12077,0.91404,0.82938,0.90508,0.75733,0.80499,0.75847,1.13752,0.000731076,0.000731076,0.000731076
76,15218.2,0.80917,0.66914,1.10796,0.94238,0.80215,0.88382,0.7463,0.74641,0.7957,1.12692,0.000721645,0.000721645,0.000721645
77,15420.7,0.78542,0.6605,1.10323,0.91282,0.83382,0.91404,0.75374,0.76077,0.78186,1.15916,0.000712214,0.000712214,0.000712214
78,15623.2,0.82446,0.68753,1.12945,0.88942,0.93333,0.96778,0.8114,0.73098,0.50402,1.1197,0.000702782,0.000702782,0.000702782
79,15825.9,0.83401,0.67575,1.13399,0.93917,0.75185,0.88594,0.7726,0.72425,0.67827,1.12769,0.000693351,0.000693351,0.000693351
80,16028.3,0.7862,0.6723,1.1147,0.93616,0.92168,0.96449,0.80446,0.71933,0.55698,1.01984,0.000683919,0.000683919,0.000683919
81,16230.8,0.80164,0.63331,1.10711,0.98089,0.94937,0.99197,0.80612,0.74071,0.44831,1.04919,0.000674488,0.000674488,0.000674488
82,16433.2,0.80348,0.6742,1.11505,0.98423,0.89088,0.92935,0.77622,0.7489,0.56692,1.04991,0.000665057,0.000665057,0.000665057
83,16635.4,0.79709,0.64958,1.11356,0.96369,0.86785,0.93809,0.75271,0.80373,0.56939,1.14526,0.000655625,0.000655625,0.000655625
84,16837.7,0.79712,0.66426,1.11715,0.9418,0.86557,0.938,0.76183,0.75047,0.62303,1.1502,0.000646194,0.000646194,0.000646194
85,17040.2,0.76707,0.64183,1.08795,0.89543,0.8831,0.92559,0.74693,0.76684,0.67419,1.16634,0.000636762,0.000636762,0.000636762
86,17243.1,0.82143,0.67103,1.11562,0.89546,0.89259,0.91972,0.78303,0.69998,0.60085,1.08014,0.000627331,0.000627331,0.000627331
87,17445.8,0.76498,0.64106,1.08464,0.93899,0.85926,0.89956,0.7612,0.70525,0.65247,1.0874,0.0006179,0.0006179,0.0006179
88,17648.8,0.76569,0.62504,1.0969,0.93451,0.85849,0.92508,0.78214,0.69819,0.61405,1.05439,0.000608468,0.000608468,0.000608468
89,17852,0.80191,0.62996,1.11323,0.87893,0.91975,0.93477,0.77,0.77907,0.68244,1.10159,0.000599037,0.000599037,0.000599037
90,18054.9,0.75804,0.60561,1.07861,0.91631,0.78088,0.86692,0.71756,0.75247,0.84577,1.1528,0.000589605,0.000589605,0.000589605
91,18268.9,0.7545,0.62735,1.09804,0.86958,0.81605,0.85393,0.69718,0.71215,0.82834,1.11476,0.000580174,0.000580174,0.000580174
92,18476.6,0.74936,0.60179,1.10241,0.90995,0.85556,0.9232,0.77039,0.75173,0.53577,1.17037,0.000570743,0.000570743,0.000570743
93,18680.1,0.75232,0.63013,1.09093,0.91145,0.77863,0.86805,0.72508,0.76928,0.67549,1.14981,0.000561311,0.000561311,0.000561311
94,18883.3,0.75453,0.60772,1.08375,0.93125,0.75783,0.87875,0.70634,0.78164,0.75098,1.15692,0.00055188,0.00055188,0.00055188
95,19086.6,0.6885,0.57078,1.05988,0.94124,0.81909,0.93722,0.76237,0.75442,0.54071,1.10396,0.000542448,0.000542448,0.000542448
96,19290.8,0.73909,0.59247,1.07214,0.91876,0.8963,0.93567,0.78218,0.74044,0.53312,1.14065,0.000533017,0.000533017,0.000533017
97,19495.4,0.72909,0.59888,1.07236,0.95542,0.84227,0.91021,0.74829,0.7321,0.59648,1.10662,0.000523586,0.000523586,0.000523586
