epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3784.04,0.82123,0.81048,1.11004,0.84218,0.95238,0.93362,0.62509,1.09115,1.15597,1.24366,0.000848969,0.000848969,0.000848969
43,3881.03,0.78006,0.74582,1.08411,0.79648,0.85203,0.91357,0.64273,1.14008,1.08568,1.31459,0.000834822,0.000834822,0.000834822
44,3977.81,0.77797,0.80906,1.10663,0.61686,0.79549,0.79901,0.55384,1.19455,1.44894,1.36577,0.000820675,0.000820675,0.000820675
45,4073.02,0.7941,0.75972,1.09503,0.86586,0.64974,0.80944,0.56639,1.18611,1.3783,1.30029,0.000806528,0.000806528,0.000806528
46,4168.69,0.79795,0.81003,1.10743,0.70963,0.79852,0.85484,0.6055,1.1524,1.62499,1.32388,0.00079238,0.00079238,0.00079238
47,4265.27,0.77494,0.77776,1.09474,0.95255,0.79277,0.85956,0.65147,1.1096,1.26838,1.30053,0.000778233,0.000778233,0.000778233
48,4361.75,0.76146,0.76261,1.08619,0.94766,0.6633,0.79899,0.63012,1.00341,1.34397,1.25413,0.000764086,0.000764086,0.000764086
49,4457.11,0.71955,0.71902,1.05817,0.90517,0.62308,0.80137,0.60321,1.06273,1.48728,1.31983,0.000749939,0.000749939,0.000749939
50,4552.92,0.77828,0.75027,1.06995,0.78531,0.62786,0.8127,0.61348,1.00821,1.36391,1.23702,0.000735792,0.000735792,0.000735792
51,4649.21,0.70613,0.7044,1.06964,0.88951,0.79374,0.87839,0.68682,1.02166,1.09249,1.18115,0.000721645,0.000721645,0.000721645
52,4746.02,0.72001,0.6945,1.06503,0.81258,0.87904,0.93152,0.70087,1.02259,0.94422,1.20624,0.000707498,0.000707498,0.000707498
53,4841.99,0.69034,0.67082,1.05767,0.80157,0.78567,0.90743,0.67924,1.0682,1.03846,1.29406,0.000693351,0.000693351,0.000693351
54,4936.87,0.74703,0.69628,1.08329,0.74758,0.67746,0.70952,0.52252,1.25308,1.27138,1.44415,0.000679204,0.000679204,0.000679204
55,5030.21,0.71074,0.66122,1.06289,0.84156,0.71674,0.88572,0.65269,1.26077,0.94112,1.40204,0.000665057,0.000665057,0.000665057
56,5123.26,0.73758,0.70134,1.06761,0.85971,0.81539,0.93803,0.694,0.9616,0.7651,1.22201,0.000650909,0.000650909,0.000650909
57,5217.21,0.67026,0.64602,1.05724,0.80188,0.80318,0.88389,0.61593,0.96198,0.87669,1.17634,0.000636762,0.000636762,0.000636762
58,5312.78,0.71932,0.65471,1.0576,0.75071,0.89417,0.92247,0.60942,1.03956,1.00188,1.22534,0.000622615,0.000622615,0.000622615
59,5408.59,0.65086,0.61523,1.02137,0.68877,0.83967,0.89122,0.61327,0.97406,1.12301,1.08958,0.000608468,0.000608468,0.000608468
60,5505.03,0.72309,0.67308,1.06735,0.71605,0.69469,0.80653,0.58285,0.95871,1.50725,1.13028,0.000594321,0.000594321,0.000594321
61,5610.19,0.65388,0.63662,1.03803,0.75004,0.69048,0.82866,0.58513,1.14267,1.32687,1.30578,0.000580174,0.000580174,0.000580174
62,5711.68,0.67831,0.62394,1.04635,0.94659,0.64286,0.89089,0.59616,1.17384,1.0839,1.36175,0.000566027,0.000566027,0.000566027
63,5804.35,0.6245,0.59146,1.02342,0.64054,0.70238,0.72458,0.57252,1.12884,1.10011,1.27454,0.00055188,0.00055188,0.00055188
64,5898.94,0.66308,0.62283,1.03354,0.7896,0.88388,0.90201,0.61411,1.13407,1.07349,1.2707,0.000537733,0.000537733,0.000537733
65,5999.73,0.65962,0.61542,1.033,0.80421,0.84925,0.90625,0.65167,0.97957,0.94632,1.18827,0.000523586,0.000523586,0.000523586
66,6097.58,0.62673,0.6084,1.02181,0.86376,0.75489,0.8943,0.62799,1.08421,1.11225,1.20981,0.000509438,0.000509438,0.000509438
67,6191.36,0.65766,0.60386,1.05595,0.91423,0.64286,0.87643,0.68474,0.9561,1.08758,1.13554,0.000495291,0.000495291,0.000495291
68,6291.91,0.6583,0.61547,1.02769,0.81586,0.93593,0.93631,0.78105,0.86365,0.795,1.07296,0.000481144,0.000481144,0.000481144
69,6393.53,0.64873,0.5985,1.03037,0.93956,0.88825,0.93958,0.78874,0.83044,0.80928,1.0611,0.000466997,0.000466997,0.000466997
70,6498.34,0.61472,0.58415,1.00288,0.8744,0.89707,0.94833,0.77168,0.8663,0.8168,1.09278,0.00045285,0.00045285,0.00045285
71,6603.59,0.60297,0.58885,1.01637,0.87013,0.84114,0.94704,0.74304,0.88364,0.80641,1.11561,0.000438703,0.000438703,0.000438703
72,6707.8,0.5779,0.54807,1.00137,0.95526,0.77689,0.93796,0.69845,1.00804,0.92054,1.17074,0.000424556,0.000424556,0.000424556
73,6812.72,0.60505,0.57134,1.00759,0.9638,0.75646,0.91767,0.66581,1.14659,0.97417,1.25022,0.000410409,0.000410409,0.000410409
74,6917.81,0.60435,0.56847,1.00595,0.85991,0.88746,0.93422,0.72466,0.97092,0.87267,1.1381,0.000396262,0.000396262,0.000396262
75,7022.88,0.60839,0.53704,1.02295,0.90887,0.85844,0.95423,0.77566,0.91977,0.8448,1.12023,0.000382115,0.000382115,0.000382115
76,7128.01,0.59895,0.56153,1.02205,0.75426,0.92997,0.94626,0.69809,0.98966,0.95368,1.17326,0.000367967,0.000367967,0.000367967
77,7232.49,0.5781,0.53932,1.00488,0.85482,0.88754,0.90653,0.68439,0.97126,0.87085,1.14282,0.00035382,0.00035382,0.00035382
78,7335.95,0.6201,0.55147,1.01641,0.76742,0.94942,0.88428,0.65757,1.0024,0.85729,1.15897,0.000339673,0.000339673,0.000339673
79,7439.13,0.58402,0.54422,1.00225,0.83988,0.81105,0.83761,0.62655,1.08924,1.288,1.27327,0.000325526,0.000325526,0.000325526
80,7540.63,0.57926,0.52497,1.01407,0.88461,0.64818,0.80535,0.59569,1.02104,1.28417,1.27767,0.000311379,0.000311379,0.000311379
81,7642.88,0.54109,0.5038,0.98111,0.93139,0.62772,0.81559,0.61887,0.98379,1.13849,1.25186,0.000297232,0.000297232,0.000297232
82,7744.93,0.51414,0.48275,0.98107,0.94041,0.57244,0.75646,0.61294,1.00667,1.27416,1.275,0.000283085,0.000283085,0.000283085
83,7849.31,0.55459,0.51133,0.99901,0.93234,0.59875,0.7868,0.6346,1.02568,1.23968,1.24878,0.000268938,0.000268938,0.000268938
84,7951.6,0.53001,0.50196,0.97056,0.85304,0.77545,0.88579,0.70338,1.01772,1.02219,1.21422,0.000254791,0.000254791,0.000254791
85,8054.43,0.53478,0.49382,1.00192,0.79272,0.86905,0.91528,0.73103,1.01684,0.957,1.19868,0.000240644,0.000240644,0.000240644
86,8156.16,0.52972,0.49277,0.9854,0.87527,0.83384,0.93362,0.77328,0.94658,0.94882,1.13629,0.000226497,0.000226497,0.000226497
87,8262.8,0.4982,0.46659,0.96744,0.78714,0.86905,0.91787,0.72342,0.90243,0.93565,1.11555,0.000212349,0.000212349,0.000212349
88,8370.16,0.53681,0.51231,0.98073,0.94465,0.78293,0.90993,0.69532,0.84878,0.86588,1.09209,0.000198202,0.000198202,0.000198202
89,8476.6,0.51304,0.47927,0.98475,0.94425,0.78069,0.9122,0.72831,0.85464,0.7721,1.08754,0.000184055,0.000184055,0.000184055
90,8582.5,0.50884,0.46193,0.97144,0.95384,0.86235,0.93775,0.75393,0.90957,0.73389,1.10336,0.000169908,0.000169908,0.000169908
91,8688.44,0.42291,0.45086,0.94353,0.78103,0.89502,0.95889,0.77689,0.90819,0.80236,1.11567,0.000155761,0.000155761,0.000155761
92,8794.22,0.36708,0.36451,0.90269,0.73415,0.9714,0.9725,0.76389,0.92195,0.76734,1.12868,0.000141614,0.000141614,0.000141614
93,8899.68,0.36301,0.35491,0.88677,0.73563,0.98405,0.9725,0.75383,0.94579,0.72397,1.14529,0.000127467,0.000127467,0.000127467
94,9006.58,0.37037,0.34389,0.88952,0.9043,0.83539,0.96136,0.74282,0.94786,0.74118,1.15324,0.00011332,0.00011332,0.00011332
95,9114.5,0.35547,0.34543,0.87609,0.908,0.86905,0.95889,0.73408,0.99942,0.78657,1.1712,9.91726e-05,9.91726e-05,9.91726e-05
96,9221.69,0.34289,0.33715,0.8757,0.91358,0.85589,0.9344,0.71907,0.98012,0.81068,1.1664,8.50255e-05,8.50255e-05,8.50255e-05
97,9328.76,0.355,0.33799,0.88693,0.91759,0.86905,0.93977,0.7095,0.96059,0.77613,1.15886,7.08784e-05,7.08784e-05,7.08784e-05
98,9435.85,0.34032,0.32641,0.87533,0.90184,0.86289,0.9387,0.70495,0.96192,0.8057,1.17177,5.67313e-05,5.67313e-05,5.67313e-05
99,9541.52,0.33143,0.32122,0.86712,0.88414,0.85934,0.93689,0.71163,0.96054,0.81279,1.16737,4.25842e-05,4.25842e-05,4.25842e-05
100,9647.13,0.33023,0.32061,0.86682,0.88781,0.86719,0.93611,0.69829,0.94775,0.80376,1.15385,2.84371e-05,2.84371e-05,2.84371e-05
